PUBLISHED TITLES ONLY (status=published, 99)
# 39 2026-08-11T17:43 | Ночь, ресепшен Сочи: не даём кредитку, морозим дебет — утром смс удивила
# 40 2026-08-11T17:46 | 1 490 ₽ против «бесплатного полотенца»: на ресепшене жена насторожилась
# 41 2026-08-12T11:59 | Бабушка в 72 не взяла рассрочку на наушники внуку. Праздник сорвался, долг — нет
# 42 2026-08-17T17:27 | Соседка Галя отказала родне в 30 тысяч. Через месяц заняла у чужих под расписку
# 43 2026-08-13T07:13 | Свекровь оформила «доставку плинтуса за 0 ₽». Ремонт сына в июле подорожал на 78 000
# 44 2026-08-13T11:30 | Свекровь оплатила сыну ЖКХ и заметила «ОДН 14 ₽». Счета пришли ей же вторым кругом
# 45 2026-08-13T16:34 | Сосед-электрик купил «наставника» по маркетплейсам. БАДы зависли на 300 тысяч
# 46 2026-08-14T08:42 | Бабушка оплатила соседу 40 литров бензина. Не мешайте — в 72 это спасло ей 80 тысяч
# 47 2026-08-14T18:06 | Свекровь 62 года оформляла заказы детей в WB. Скидка сработала, но списали долг
# 48 2026-08-14T16:45 | Свекровь давала сыну по 5000 в месяц. Галочка «самовывоз завтра» у невестки всё объяснила
# 49 2026-08-15T06:40 | «Это я уговорил тётю отменить Сочи». В 68 она вернула детям переводы — скандал
# 50 2026-08-15T11:32 | Тётя Нина заплатила 19 900 за «сброс ЖКХ». Через 10 дней племянник вернул всё
# 51 2026-08-15T16:14 | Тётя Лида дала сыну 60 тысяч «на 2 недели». Через год отдала 120 — и впервые сказала «нет»
# 52 2026-08-16T18:45 | «Отключила сама», — призналась невестка. Свекровь платила 299 ₽, муж ехал в Сочи молча
# 53 2026-08-16T18:31 | Сосед взял «бесплатную доставку» на 30 дней. Через месяц удержали абонплату — это нормально?
# 54 2026-08-16T18:26 | 2 990 ₽ за «детский Apple» купила свекровь, 63 года. Вскрыли посылку — в чеке всплыла деталь
# 55 2026-08-17T18:55 | Тётя Зина записалась на «бесплатного врача за 0 ₽». Через неделю списали 799 ₽
# 56 2026-08-17T15:24 | «Не отвязывайте карту бабушки от доставки». В 78 она платила 3 месяца — дети ели дома
# 57 2026-08-18T05:03 | Бабушка внесла 9 300 ₽ «налога» в офисе. Через неделю узнала о займе под 0%
# 60 2026-08-18T16:33 | Бабушке 79 отключили автоплатёж за ЖКУ. Через неделю семья разругалась из‑за 3 квартир
# 62 2026-08-19T11:44 | «Я перекладывала пюре в её корзину». Свекровь 62 сказала: «я не банкомат»
# 63 2026-08-19T16:31 | «Оформляйте быстрее по СМС». Соседка поверила — потеряла 58 тысяч за тур
# 64 2026-08-20T06:57 | Сосед заказал «детское меню» в 23:48 со смайликом 😋. Счёт оплатили родители за соседним столом
# 66 2026-08-20T16:35 | В 68 тётя Раиса закрыла «конверты ко всем датам». Внуку 12 — ноль, узнали сумму
# 67 2026-08-21T06:14 | Тётя В заплатила курьеру дважды по 1 600 «без споров». Сервис внёс её в «надёжные»
# 68 2026-08-21T11:31 | 120 000 ₽ попросили у учительницы на «спасение внука». Остановила одна фраза про Сочи
# 69 2026-08-21T16:29 | Соседка вместо жалобы оплатила «идентификацию» 2 990. Карта внезапно заблокирована
# 70 2026-08-22T06:33 | 1 490 ₽ при «–20% по моей корзине». Тётя 66 лет посчитала чек — экономии нет
# 71 2026-08-22T14:56 | Тётя Вера заказала ужин за 790 ₽. «Вилки 0 ₽» в чеке объяснили, откуда подписка за 199
# 72 2026-08-22T16:14 | Бабушка заняла «на внучку» 150 тысяч в 23:40. Утром узнала, чей был звонок?
# 73 2026-08-23T08:30 | Свекровь оформила общий кошелёк WB ради −20%. Итог — долги детей на 48 тысяч?
# 74 2026-08-23T11:13 | Тёща купила бананы на 219 ₽. Серая строка «Премиум 0 ₽» показала, где исчезли скидки
# 75 2026-08-23T17:10 | Деду 68 прислали «скидку банка» на ОСАГО. Перешёл по ссылке — в базе ноль
# 76 2026-08-24T08:56 | В 66 лет свекровь-бухгалтер отказалась сдавать на школу. Семья узнала, куда шли деньги 8 лет
# 77 2026-08-24T11:11 | 68 000 ₽ приготовила бабушка для «курьера». Внук из автосервиса сорвал сделку
# 78 2026-08-24T16:16 | Бабушка оформила «неделю бесплатно». Карта превратилась в 11 подписок — это нормально?
# 79 2026-08-25T06:43 | «Возьми пятёрку до пенсии» — сказал сосед. Тётя Рая взяла 10 тысяч и скрыла это от сына
# 80 2026-08-25T11:33 | В 62 года тётя должна 10 000 ₽ МФО. За 7 дней закрыла — но не из пенсии
# 81 2026-08-25T16:21 | Свекровь скинула PDF «Сбор на тетради 1‑Б» на 2 500. Серая скрепка выдала, кому платим
# 82 2026-08-26T08:31 | Тётя Нина перевела «на безопасный счёт» 38 000. Деньги ушли в колл-центр
# 83 2026-08-26T12:09 | Свекровь оставляет «чай 15% + 79 ₽» в доставке. За месяц минус 3200 — это нормально?
# 84 2026-08-26T16:22 | Дед не отказал, перевёл 1 ₽ и потребовал телефон. Через неделю внук принёс все 60 000
# 85 2026-08-27T06:18 | «Возьми на 7 дней, копейки же», — сказал зять. Свекровь застряла в пролонгациях
# 86 2026-08-27T11:15 | Племянник убедил тётю Галину взять «AirPods со скидкой». За неделю списали 2 990 ₽
# 87 2026-08-27T16:34 | Соседка велела не проверять июльскую квитанцию: оплатить «ЕИРЦ 1 490 ₽». Итог — пришёл долг
# 88 2026-08-28T06:12 | 62 000 ₽ потребовали с соседки за мусор после ремонта сына — «вы же сами заказали вывоз»
# 89 2026-08-28T16:03 | Мама получила СМС от «Госуслуги✈️» и оплатила 27 000. На чеке — чужая фамилия
# 90 2026-08-28T17:10 | «Я оформила на свекровь карту ради −10%». За 2 месяца в Сочи она сожгла 38 тысяч на шашлыки
# 91 2026-08-29T06:06 | Соседка Зоя, 70 лет, платила 180 рублей за домофон. Разобралась — это «подписка» без договора
# 92 2026-08-29T12:44 | Бабушка собиралась оплатить «билет» на 18 500. Строчка «Паспорт РФ» остановила перевод
# 93 2026-08-29T16:52 | Соседка платила «по мелочи» за связь. Галочка «каждые 28 дней» показала, куда уходят деньги
# 94 2026-08-30T06:42 | «Это я скинул тестю курс про доход». Через 2 дня у него запросили код из Госуслуг
# 95 2026-08-30T17:50 | Бабушка вышла из чата в июле. Внуку 10 лет — на линейке его не назвали
# 96 2026-08-30T17:10 | Соседка поцарапала бампер у подъезда. «Комиссар» требует 12 000 — это нормально?
# 97 2026-08-31T06:11 | «Это я привязал бабушкину карту к пробной неделе». Через месяц ушли 1 790 ₽
# 98 2026-08-31T11:26 | Соседка взяла молоко «по скидке» за 79 ₽. Маленькое «реклама» под QR объяснило чек
#100 2026-09-01T06:27 | Соседка пришла на «бесплатную диагностику по ОМС». Ушла с БАДами на 64 800 ₽
#101 2026-09-01T11:39 | Дед поставил в ОСАГО датчик за 990 рублей. Через 3 месяца доплатил 14 800
#102 2026-09-01T16:18 | «Это я поставил галочку». Свекровь получила поддельные полоски за 2 790 ₽
#103 2026-09-02T06:24 | Свекровь купила «оригинал с гарантией» за 3 490 ₽. Через двое суток отказали в возврате
#104 2026-09-02T11:46 | Сосед взял микрозайм 30 тысяч и тянул 6 месяцев «ради истории». В 58 остался без карты
#105 2026-09-02T17:22 | Бабушка оплатила 1 ₽ «курьеру из доставки». На карте через час — минус 18 000
#106 2026-09-03T06:44 | Бабушке 72 пообещали «подарок от банка». За доставку — 390 ₽ и код из СМС: отдала?
#107 2026-09-03T13:27 | Тётя Лида теряла по 1 196 ₽ на WB. Крошечная строка «CPAY подписка» под чеком всё перевернула
#108 2026-09-03T16:31 | Тётя Лида записалась на «бесплатный интенсив». На кассе запросили 14 800 ₽
#109 2026-09-04T07:51 | Мама Нина оформила бассейн за 3 600 ₽ в месяц. «Разовый взнос» вышел дороже
#110 2026-09-04T11:31 | Тётя 68 лет впервые не положила 5 тысяч в новогодний конверт. Семья прозвала жадной
#113 2026-09-05T06:20 | Тёща понесла 120 000 «на безопасный счёт». Жена застала у банкомата — началась проверка
